session	speaker	female_attendees	male_attendees	first_question	female_questions	male_questions
1	M	12	15	M	1	2
2	M	12	17	M	0	3
3	F	20	29	M	0	1
4	M	10	11	M	0	5
5	M	16	21	M	0	3
6	F	11	11	M	0	1
7	M	17	18	M	4	3
8	M	6	22	F	2	3
9	M	6	12	M	0	2
10	M	19	36	M	0	4
11	M	13	20	M	0	5
12	M	22	35	M	0	3
13	M	13	38	M	0	2
14	M	11	23	M	0	2
15	F	29	18	F	3	1
16	M	9	13	M	0	1
17	F	14	13	F	1	0
18	M	6	12	M	0	5
19	M	19	32	M	3	1
20	M	4	12	M	0	2
21	M	9	17	F	2	0
22	F	5	15	F	1	3
23	F	7	16	M	0	1
24	F	14	27	M	0	4
25	M	26	26	M	0	2
26	F	13	12	M	0	3
