session	question	gender	seconds
1	1	M	12
1	2	M	10
1	3	F	6
2	1	M	10
2	2	M	4
2	3	M	11
3	1	M	11
4	1	M	29
4	2	M	8
4	3	M	3
4	4	M	29
4	5	M	12
5	1	M	6
5	2	M	8
5	3	M	5
6	1	M	26
7	1	M	8
7	2	M	3
7	3	F	7
7	4	F	5
7	5	F	10
7	6	F	11
7	7	M	29
8	1	F	10
8	2	F	7
8	3	M	11
8	4	M	25
8	5	M	12
9	1	M	5
9	2	M	11
10	1	M	5
10	2	M	10
10	3	M	5
10	4	M	16
11	1	M	2
11	2	M	2
11	3	M	13
11	4	M	3
11	5	M	5
12	1	M	3
12	2	M	7
12	3	M	14
13	1	M	7
13	2	M	10
14	1	M	10
14	2	M	5
15	1	F	14
15	2	F	9
15	3	F	25
15	4	M	14
16	1	M	10
17	1	F	5
18	1	M	6
18	2	M	30
18	3	M	16
18	4	M	26
18	5	M	26
19	1	M	19
19	2	F	12
19	3	F	21
19	4	F	17
20	1	M	23
20	2	M	13
21	1	F	25
21	2	F	17
22	1	F	7
22	2	M	7
22	3	M	13
22	4	M	8
23	1	M	12
24	1	M	15
24	2	M	4
24	3	M	6
24	4	M	4
25	1	M	13
25	2	M	14
26	1	M	23
26	2	M	4
26	3	M	15
